KEYID,SECTOR,NSTR,TARA,GR1,GR2,GR3,GR4,GR5,GR6,GR7,GR8,XFILES,ANUL
40109899,F9100,090,196,,,,,0,0,0,0,,2018
40109899,F9100,060,,,0,,,0,0,0,0,,2018
40109899,F9100,010,,,0,,,0,0,0,0,,2018
40280667,F9100,070,,0,0,0,0,0,0,0,0,,2018
40280667,F9100,060,,0,0,0,0,0,0,0,0,,2018
40280667,F9100,030,,0,0,0,0,0,0,0,0,,2018
40280667,F9100,020,,0,0,0,0,0,0,0,0,,2018
40280667,F9100,010,,0,0,0,0,0,0,0,0,,2018
40516417,F9100,090,,92121243,96422995,105983333,1280810,83841715,83841715,83841715,83841715,,2018
40516417,F9100,090,196,92121243,96422995,105983333,1280810,83841715,83841715,83841715,83841715,,2018
40516417,F9100,060,,92121243,96422995,105983333,1280810,83841715,83841715,83841715,83841715,,2018
40516417,F9100,010,,0,0,0,0,0,0,0,0,,2018
38915274,F9100,100,,0,0,0,0,0,0,0,0,,2018
38915274,F9100,100,380,,,,,0,0,0,0,,2018
38915274,F9100,060,,0,0,0,0,0,0,0,0,,2018
38915274,F9100,050,,0,0,0,0,0,0,0,0,,2018
38915274,F9100,050,380,,,,,0,0,0,0,,2018
38915274,F9100,010,,0,0,0,0,0,0,0,0,,2018
37562945,F9100,080,,0,0,0,0,0,0,0,0,,2018
37562945,F9100,070,,0,0,0,0,0,0,0,0,,2018
37562945,F9100,060,,0,0,0,0,0,0,0,0,,2018
37562945,F9100,010,,0,0,0,0,0,0,0,0,,2018
40304017,F9100,100,,12736636,2582108,,-554587,14764157,14764157,14764157,14764157,,2018
40304017,F9100,100,826,12736636,2582108,,-554587,14764157,14764157,14764157,14764157,,2018
40304017,F9100,090,,29525075,,1347010,-979919,27198146,27198146,27198146,27198146,,2018
40304017,F9100,090,826,29525075,,1347010,-979919,27198146,27198146,27198146,27198146,,2018
40304017,F9100,060,,42261711,2582108,1347010,-1534506,41962303,41962303,41962303,41962303,,2018
40304017,F9100,010,,0,0,0,0,0,0,0,0,,2018
40164579,F9100,070,,,0,,,0,0,0,0,,2018
40164579,F9100,060,,,0,,,0,0,0,0,,2018
40164579,F9100,010,,,0,,,0,0,0,0,,2018
37636201,F9100,100,,0,0,0,0,0,0,0,0,,2018
37636201,F9100,090,,0,0,0,0,0,0,0,0,,2018
37636201,F9100,060,,0,0,0,0,0,0,0,0,,2018
37636201,F9100,010,,0,0,0,0,0,0,0,0,,2018
41018957,F9100,090,,341809,24671,,-34779,331701,331701,331701,331701,,2018
41018957,F9100,090,233,341809,24671,,-34779,331701,331701,331701,331701,,2018
41018957,F9100,060,,341809,24671,,-34779,331701,331701,331701,331701,,2018
41018957,F9100,040,,0,0,,0,0,0,0,0,,2018
41018957,F9100,040,233,,,,,0,0,0,0,,2018
41018957,F9100,010,,0,0,,0,0,0,0,0,,2018
40986896,F9100,060,,0,0,0,0,0,0,0,0,,2018
40986896,F9100,020,,0,0,0,0,0,0,0,0,,2018
40986896,F9100,010,,0,0,0,0,0,0,0,0,,2018
40077030,F9100,090,,3946569,288960,985543,,3249986,3249986,3249986,3249986,,2018
40077030,F9100,090,376,3946569,288960,985543,,3249986,3249986,3249986,3249986,,2018
40077030,F9100,060,,3946569,288960,985543,,3249986,3249986,3249986,3249986,,2018
40077030,F9100,010,,0,0,0,,0,0,0,0,,2018
40744549,F9100,070,,0,0,0,0,0,0,0,0,,2018
40744549,F9100,060,,0,0,0,0,0,0,0,0,,2018
40744549,F9100,030,,0,0,0,0,0,0,0,0,,2018
40744549,F9100,010,,0,0,0,0,0,0,0,0,,2018
41274838,F9100,090,,,880000,,,880000,880000,880000,880000,,2018
41274838,F9100,090,056,,880000,,,880000,880000,880000,880000,,2018
41274838,F9100,070,,0,0,0,0,0,0,0,0,,2018
41274838,F9100,060,,0,880000,0,0,880000,880000,880000,880000,,2018
41274838,F9100,050,,,0,,,0,0,0,0,,2018
41274838,F9100,050,056,,,,,0,0,0,0,,2018
41274838,F9100,010,,0,0,0,0,0,0,0,0,,2018
38346052,F9100,060,,0,0,0,0,0,0,0,0,,2018
38346052,F9100,030,,0,0,0,0,0,0,0,0,,2018
38346052,F9100,020,,0,,,,0,0,0,0,,2018
38346052,F9100,010,,0,0,0,0,0,0,0,0,,2018
40051125,F9100,090,,12663543,,,-686512,11977031,11977031,11977031,11977031,,2018
40051125,F9100,090,040,12663543,,,-686512,11977031,11977031,11977031,11977031,,2018
40051125,F9100,060,,12663543,,,-686512,11977031,11977031,11977031,11977031,,2018
40051125,F9100,010,,0,,,0,0,0,0,0,,2018
37776250,F9100,060,,0,0,0,0,0,0,0,0,,2018
37776250,F9100,030,,0,0,0,0,0,0,0,0,,2018
37776250,F9100,010,,0,0,0,0,0,0,0,0,,2018
40831254,F9100,080,,,,0,,0,0,0,0,,2018
40831254,F9100,060,,0,,0,,0,0,0,0,,2018
40831254,F9100,030,,,,0,,0,0,0,0,,2018
40831254,F9100,020,,0,,0,,0,0,0,0,,2018
40831254,F9100,010,,0,,0,,0,0,0,0,,2018
40667978,F9100,090,,3930652,,,9769,3940421,3940421,3940421,3940421,,2018
40667978,F9100,090,826,3930652,,,9769,3940421,3940421,3940421,3940421,,2018
40667978,F9100,070,,0,0,0,0,0,0,0,0,,2018
40667978,F9100,060,,3930652,0,0,9769,3940421,3940421,3940421,3940421,,2018
40667978,F9100,010,,0,0,0,0,0,0,0,0,,2018
40518043,F9100,090,,3602400,,,,3602400,3602400,3602400,3602400,,2018
40518043,F9100,090,792,3602400,,,,3602400,3602400,3602400,3602400,,2018
40518043,F9100,060,,3602400,,,,3602400,3602400,3602400,3602400,,2018
40518043,F9100,010,,0,,,,0,0,0,0,,2018
37636483,F9100,070,,0,0,0,0,0,0,0,0,,2018
37636483,F9100,060,,0,0,0,0,0,0,0,0,,2018
37636483,F9100,010,,0,0,0,0,0,0,0,0,,2018
40887846,F9100,070,,0,0,0,0,0,0,0,0,,2018
40887846,F9100,060,,0,0,0,0,0,0,0,0,,2018
40887846,F9100,010,,0,0,0,0,0,0,0,0,,2018
40535768,F9100,100,,0,0,,0,0,0,0,0,,2018
40535768,F9100,090,,0,,,0,0,0,0,0,,2018
40535768,F9100,080,,0,,,0,0,0,0,0,,2018
40535768,F9100,060,,0,0,,0,0,0,0,0,,2018
40535768,F9100,010,,0,0,,0,0,0,0,0,,2018
20455091,F9100,070,,0,0,0,0,0,0,0,0,,2018
20455091,F9100,060,,0,0,0,0,0,0,0,0,,2018
20455091,F9100,030,,0,0,0,0,0,0,0,0,,2018
20455091,F9100,010,,0,0,0,0,0,0,0,0,,2018
40751377,F9100,090,,0,0,0,0,0,0,0,0,,2018
40751377,F9100,080,,0,0,0,0,0,0,0,0,,2018
40751377,F9100,070,,0,0,0,,0,0,0,0,,2018
40751377,F9100,060,,0,0,0,0,0,0,0,0,,2018
40751377,F9100,050,,0,0,0,0,0,0,0,0,,2018
40751377,F9100,040,,0,0,0,0,0,0,0,0,,2018
40751377,F9100,030,,0,0,0,0,0,0,0,0,,2018
40751377,F9100,020,,0,0,0,0,0,0,0,0,,2018
40751377,F9100,010,,0,0,0,0,0,0,0,0,,2018
9774045,F9100,080,,0,0,0,0,0,0,0,0,,2018
9774045,F9100,070,,0,0,0,0,0,0,0,0,,2018
9774045,F9100,060,,0,0,0,0,0,0,0,0,,2018
9774045,F9100,020,,0,0,0,0,0,0,0,0,,2018
9774045,F9100,010,,0,0,0,0,0,0,0,0,,2018
40701706,F9100,090,,910281,,870645,-39636,0,0,0,0,,2018
40701706,F9100,090,642,910281,,870645,-39636,0,0,0,0,,2018
40701706,F9100,060,,910281,,870645,-39636,0,0,0,0,,2018
40701706,F9100,010,,0,,0,0,0,0,0,0,,2018
37633591,F9100,090,,5066276,,4949546,-116730,0,0,0,0,,2018
37633591,F9100,090,092,5066276,,4949546,-116730,0,0,0,0,,2018
37633591,F9100,060,,5066276,,4949546,-116730,0,0,0,0,,2018
37633591,F9100,010,,0,,0,0,0,0,0,0,,2018
40735622,F9100,090,,0,0,0,0,0,0,0,0,,2018
40735622,F9100,060,,0,0,0,0,0,0,0,0,,2018
40735622,F9100,010,,0,0,0,0,0,0,0,0,,2018
40110744,F9100,100,,0,0,0,0,0,0,0,0,,2018
40110744,F9100,070,,0,0,0,0,0,0,0,0,,2018
40110744,F9100,060,,0,0,0,0,0,0,0,0,,2018
40110744,F9100,030,,0,0,0,0,0,0,0,0,,2018
40110744,F9100,020,,0,0,0,0,0,0,0,0,,2018
40110744,F9100,010,,0,0,0,0,0,0,0,0,,2018
38953926,F9100,080,,0,0,0,0,0,0,0,0,,2018
38953926,F9100,070,,0,0,0,0,0,0,0,0,,2018
38953926,F9100,060,,0,0,0,0,0,0,0,0,,2018
38953926,F9100,030,,0,0,0,0,0,0,0,0,,2018
38953926,F9100,020,,0,0,0,0,0,0,0,0,,2018
38953926,F9100,010,,0,0,0,0,0,0,0,0,,2018
37727493,F9100,090,,1851282,,82171,-76524,1692587,1692587,1692587,1692587,,2018
37727493,F9100,090,276,1851282,,82171,-76524,1692587,1692587,1692587,1692587,,2018
37727493,F9100,060,,1851282,,82171,-76524,1692587,1692587,1692587,1692587,,2018
37727493,F9100,010,,0,,0,0,0,0,0,0,,2018
38964427,F9100,060,,0,0,0,0,0,0,0,0,,2018
38964427,F9100,030,,0,0,0,0,0,0,0,0,,2018
